prefecture,year,DID,TFP
大分,2015,4678.8,0.023
宮崎,2000,4603.3,-0.097
宮崎,2005,4547.7,-0.111
宮崎,2010,4573.4,-0.097
宮崎,2015,4593.0,-0.090
鹿児島,2000,5370.8,-0.026
鹿児島,2005,5344.1,-0.018
鹿児島,2010,5364.1,-0.029
鹿児島,2015,5361.1,-0.014
沖縄,2000,7028.8,-0.163
沖縄,2005,7092.3,-0.116
沖縄,2010,7109.3,-0.098
沖縄,2015,7241.8,-0.062
